# System controls
panel_mode	Performance, Patch, GM
veloc_range_upper	0-127
key_range_lower	C1 - G9 (0-127)
key_range_upper	C1 - G9 (0-127)
redamper_control	Off, On
volume_control_switch	Off, On
hold_1_control		Off, On
bender_control		Off, On
pan_control	Off, Continuous, KeyOn
cont_1_dest_1	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
cont_1_depth_1	-63 to +63 (0-126)
cont_1_dest_2	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
cont_1_depth_2	-63 to +63 (0-126)
cont_1_dest_3	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
cont_1_depth_3	-63 to +63 (0-126)
cont_1_dest_4	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
cont_1_depth_4	-63 to +63 (0-126)
cont_2_dest_1	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
cont_2_depth_1	-63 to +63 (0-126)
cont_2_dest_2	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
cont_2_depth_2	-63 to +63 (0-126)
cont_2_dest_3	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
cont_2_depth_3	-63 to +63 (0-126)
cont_2_dest_4	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
cont_2_depth_4	-63 to +63 (0-126)
