62,Seq Mallet,PR-B
63,Intentions,PR-B
64,Pick It,PR-B
65,Analog Seq,PR-B
66,Impact Vox,PR-B
67,TeknoSoloVox,PR-B
68,X-Mod Man,PR-B
69,Paz <==> Zap,PR-B
70,4 Hits 4 You,PR-B
71,Impact,PR-B
72,Phase Hit,PR-B
73,Tekno Hit 1,PR-B
74,Tekno Hit 2,PR-B
75,Tekno Hit 3,PR-B
76,Reverse Hit,PR-B
77,SquareLead 1,PR-B
78,SquareLead 2,PR-B
79,You and Luck,PR-B
80,Belly Lead,PR-B
81,WhistlinAtom,PR-B
82,Edye Boost,PR-B
83,MG Solo,PR-B
84,FXM Saw Lead,PR-B
85,Sawteeth,PR-B
86,Smoothe,PR-B
87,MG Lead,PR-B
88,MG Interval,PR-B
89,Pulse Lead 1,PR-B
90,Pulse Lead 2,PR-B
91,Little Devil,PR-B
92,Loud SynLead,PR-B
93,Analog Lead,PR-B
94,5th Lead,PR-B
95,Flute,PR-B
96,Piccolo,PR-B
97,VOX Flute,PR-B
98,Air Lead,PR-B
99,Pan Pipes,PR-B
100,Airplaaane,PR-B
101,Taj Mahal,PR-B
102,Raya Shaku,PR-B
103,Oboe mf,PR-B
104,Oboe Express,PR-B
105,Clarinet mp,PR-B
106,ClariExpress,PR-B
107,Mitzva Split,PR-B
108,ChamberWinds,PR-B
109,ChamberWoods,PR-B
110,Film Orch,PR-B
111,Sop.Sax mf,PR-B
112,Alto Sax,PR-B
113,AltoLead Sax,PR-B
114,Tenor Sax,PR-B
115,Baritone Sax,PR-B
116,Take A Tenor,PR-B
117,Sax Section,PR-B
118,Bigband Sax,PR-B
119,Harmonica,PR-B
120,Harmo Blues,PR-B
121,BluesHarp,PR-B
122,Hillbillys,PR-B
123,French Bags,PR-B
124,Majestic Tpt,PR-B
125,Voluntare,PR-B
126,2Trumpets,PR-B
127,Tpt Sect,PR-B
128,Mute TP mod,PR-B
1,Harmon Mute,PR-C
2,Tp&Sax Sect,PR-C
3,Sax+Tp+Tb,PR-C
